"pincode","district","latitude","longitude","Demand"
811213,"MUNGER","25.1225592","86.5530372",1
811214,"MUNGER","25.3131703","86.5489033",6
811311,"LAKHISARAI","86.092659699999999","25.181549400000002",5
811311,"LAKHISARAI","86.035039999999995","25.2111631",5
811311,"LAKHISARAI","86.110516599999997","25.1246677",5
811311,"LAKHISARAI","86.150125399999993","25.034219499999999",5
811311,"LAKHISARAI","86.053562099999994","25.206152700000001",5
811311,"LAKHISARAI","86.155755200000002","25.222475599999999",5
811311,"LAKHISARAI","86.1176885","25.223370299999999",5
811311,"LAKHISARAI","86.076110900000003","25.0976423",5
811311,"LAKHISARAI","86.122056700000002","25.0668389",5
811311,"LAKHISARAI","86.139297999999997","25.243017699999999",5
811103,"SHEIKHPURA","25.141694","85.862891",1
811103,"SHEIKHPURA","25.141694","85.862891",1
811105,"SHEIKHPURA","86.224717999999996","24.919515000000001",3
811105,"SHEIKHPURA","25.0748684","85.778579",3
811105,"SHEIKHPURA","25.141694","85.862891",3
811105,"SHEIKHPURA","25.1455714","85.8042016",3
811105,"SHEIKHPURA","25.141694","85.862891",3
811105,"SHEIKHPURA","25.0669375","85.8501035",3
811105,"SHEIKHPURA","25.0269646","85.7850385",3
811106,"LAKHISARAI","86.169023999999993","25.287095000000001",3
811106,"LAKHISARAI","25.196175","86.180751000000001",3
803107,"NALANDA","25.2800000","85.6600000",1
803107,"NALANDA","25.2100000","85.6700000",1
803107,"NALANDA","25.0100000","85.6200000",1
803107,"NALANDA","25.1700000","85.4100000",1
803107,"NALANDA","25.2500000","85.6600000",1
803107,"NALANDA","25.1900000","85.5900000",1
803214,"PATNA","25.446309","85.771688",1
803213,"PATNA","25.446672","85.748495",7
803213,"PATNA","25.434136","85.658582",7
803213,"PATNA","25.416690","85.710366",7
803110,"PATNA","33.8800000","118.2700000",3
803110,"PATNA","24.9400000","85.6500000",3
803110,"PATNA","50.7300000","8.6310000",3
803110,"PATNA","25.3500000","85.4400000",3
803110,"PATNA","25.309466","85.551000000000002",3
803301,"PATNA","25.352544999999999","85.995625000000004",2
801303,"NALANDA","25.039999999999999","85.189999999999998",1
801303,"NALANDA","25.140000000000001","85.219999999999999",1
801303,"NALANDA","25.149999999999999","85.189999999999998",1
801303,"NALANDA","26.43","80.349999999999994",1
801303,"NALANDA","25.16","85.180000000000007",1
801303,"NALANDA","25.039999999999999","85.269999999999996",1
801303,"NALANDA","26.289999999999999","83.920000000000002",1
801303,"NALANDA","25.440000000000001","85.420000000000002",1
803302,"PATNA","25.410266","85.887561",1
803302,"PATNA","25.374867","85.833238",1
803303,"PATNA","25.389738","85.953971",1
803115,"NALANDA","23.52","87.319999999999993",1
803115,"NALANDA","25.120000000000001","85.540000000000006",1
803115,"NALANDA","26.41","84.560000000000002",1
803119,"NALANDA","30.350000000000001","97.790000000000006",1
803119,"NALANDA","36.140000000000001","95.959999999999994",1
803119,"NALANDA","25.239999999999998","85.590000000000003",1
803119,"NALANDA","42.310000000000002","122.81999999999999",1
803119,"NALANDA","25.289999999999999","85.620000000000005",1
803119,"NALANDA","25.308489999999999","85.628286000000003",1
803116,"NALANDA","25.07","85.340000000000003",1
803116,"NALANDA","25.239999999999998","86.959999999999994",1
803116,"NALANDA","25.050000000000001","85.370000000000005",1
803116,"NALANDA","25.010000000000002","85.420000000000002",1
805101,"NAWADA","24.8406790","85.4659380",1
805126,"NAWADA","24.7469820","85.5361640",1
805126,"NAWADA","24.7469820","85.5361640",1
805126,"NAWADA","24.7469820","85.5361640",1
805126,"NAWADA","24.7469820","85.5361640",1
805130,"NAWADA","24.8009380","85.2439510",2
805130,"NAWADA","24.8009380","85.2439510",2
805130,"NAWADA","24.8009380","85.2439510",2
800009,"PATNA","25.3696666","85.6666558",4
800007,"PATNA","25.5409045","85.1365671",14
800007,"PATNA","25.5409452","85.1365671",14
800008,"PATNA","25.5872","85.2338",23
801505,"PATNA","25.6025550","85.1359444",29
801505,"PATNA","25.5741270","85.1250000",29
801505,"PATNA","25.6126770","85.1588750",29
801109,"PATNA","25.1231231","85.1211211",1
801109,"PATNA","25.2123131","85.1231321",1
801109,"PATNA","25.2121324","85.2121313",1
801110,"PATNA","25.3232121","85.2311245",2
801110,"PATNA","25.1316455","85.1346374",2
801110,"PATNA","25.2154687","85.1321345",2
801108,"PATNA","25.6388500","85.0465080",2
801108,"PATNA","25.6388500","84.8755000",2
801102,"PATNA","25.1545557","85.2646465",1
801102,"PATNA","25.3884600","84.8161300",1
